"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 12 12:42:15 GMT 2024","Fri Jan 12 12:42:15 GMT 2024","70","test","test_hootel","TestHootel","","","test_aktualis_foglalsok",""
"broken","Fri Jan 12 12:41:50 GMT 2024","Fri Jan 12 12:41:56 GMT 2024","5870","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Fri Jan 12 12:41:46 GMT 2024","Fri Jan 12 12:41:47 GMT 2024","1673","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Fri Jan 12 12:41:59 GMT 2024","Fri Jan 12 12:42:00 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Fri Jan 12 12:42:18 GMT 2024","Fri Jan 12 12:42:18 GMT 2024","69","test","test_hootel","TestHootel","","","test_kesobbi_foglalsok",""
"passed","Fri Jan 12 12:42:08 GMT 2024","Fri Jan 12 12:42:09 GMT 2024","1181","test","test_hootel","TestHootel","","","test_find_hotel",""
"passed","Fri Jan 12 12:42:03 GMT 2024","Fri Jan 12 12:42:05 GMT 2024","1456","test","test_hootel","TestHootel","","","test_hotel_checkboxes",""
"broken","Fri Jan 12 12:42:12 GMT 2024","Fri Jan 12 12:42:12 GMT 2024","69","test","test_hootel","TestHootel","","","test_foglalas_tab",""
