"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 18:09:14 GMT 2024","Wed Jan 10 18:09:16 GMT 2024","1095","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Wed Jan 10 18:09:10 GMT 2024","Wed Jan 10 18:09:10 GMT 2024","61","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Wed Jan 10 18:09:12 GMT 2024","Wed Jan 10 18:09:12 GMT 2024","22","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
