"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 12:50:55 GMT 2024","Fri Jan 12 12:50:58 GMT 2024","2915","test","test_hootel","TestHootel","","","test_aktualis_foglalsok",""
"passed","Fri Jan 12 12:50:50 GMT 2024","Fri Jan 12 12:50:53 GMT 2024","2375","test","test_hootel","TestHootel","","","test_foglalas_tab",""
"passed","Fri Jan 12 12:50:47 GMT 2024","Fri Jan 12 12:50:48 GMT 2024","1178","test","test_hootel","TestHootel","","","test_find_hotel",""
"passed","Fri Jan 12 12:50:40 GMT 2024","Fri Jan 12 12:50:41 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Fri Jan 12 12:50:43 GMT 2024","Fri Jan 12 12:50:45 GMT 2024","1455","test","test_hootel","TestHootel","","","test_hotel_checkboxes",""
"broken","Fri Jan 12 12:51:00 GMT 2024","Fri Jan 12 12:51:04 GMT 2024","3449","test","test_hootel","TestHootel","","","test_kesobbi_foglalsok",""
"passed","Fri Jan 12 12:50:27 GMT 2024","Fri Jan 12 12:50:29 GMT 2024","1555","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Fri Jan 12 12:50:31 GMT 2024","Fri Jan 12 12:50:37 GMT 2024","5865","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
