"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 12:38:55 GMT 2024","Fri Jan 12 12:38:56 GMT 2024","1061","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Fri Jan 12 12:38:42 GMT 2024","Fri Jan 12 12:38:43 GMT 2024","1381","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Fri Jan 12 12:38:46 GMT 2024","Fri Jan 12 12:38:52 GMT 2024","5865","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Fri Jan 12 12:38:59 GMT 2024","Fri Jan 12 12:39:00 GMT 2024","1449","test","test_hootel","TestHootel","","","test_hotel_checkboxes",""
"passed","Fri Jan 12 12:39:03 GMT 2024","Fri Jan 12 12:39:04 GMT 2024","1183","test","test_hootel","TestHootel","","","test_find_hotel",""
"broken","Fri Jan 12 12:39:10 GMT 2024","Fri Jan 12 12:39:10 GMT 2024","14","test","test_hootel","TestHootel","","","test_aktualis_foglalsok",""
"broken","Fri Jan 12 12:39:13 GMT 2024","Fri Jan 12 12:39:13 GMT 2024","13","test","test_hootel","TestHootel","","","test_kesobbi_foglalsok",""
"broken","Fri Jan 12 12:39:07 GMT 2024","Fri Jan 12 12:39:07 GMT 2024","14","test","test_hootel","TestHootel","","","test_foglalas_tab",""
