"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 12 12:48:05 GMT 2024","Fri Jan 12 12:48:08 GMT 2024","3440","test","test_hootel","TestHootel","","","test_kesobbi_foglalsok",""
"passed","Fri Jan 12 12:47:50 GMT 2024","Fri Jan 12 12:47:51 GMT 2024","1183","test","test_hootel","TestHootel","","","test_find_hotel",""
"passed","Fri Jan 12 12:47:46 GMT 2024","Fri Jan 12 12:47:47 GMT 2024","1450","test","test_hootel","TestHootel","","","test_hotel_checkboxes",""
"passed","Fri Jan 12 12:47:54 GMT 2024","Fri Jan 12 12:47:56 GMT 2024","2385","test","test_hootel","TestHootel","","","test_foglalas_tab",""
"passed","Fri Jan 12 12:47:42 GMT 2024","Fri Jan 12 12:47:43 GMT 2024","1060","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Fri Jan 12 12:47:59 GMT 2024","Fri Jan 12 12:48:02 GMT 2024","2913","test","test_hootel","TestHootel","","","test_aktualis_foglalsok",""
"passed","Fri Jan 12 12:47:29 GMT 2024","Fri Jan 12 12:47:30 GMT 2024","1638","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Fri Jan 12 12:47:33 GMT 2024","Fri Jan 12 12:47:39 GMT 2024","5856","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
